"Kod","Nazwa","ogółem",
0200000,"DOLNOŚLĄSKIE",2899986,
0400000,"KUJAWSKO-POMORSKIE",2074517,
0600000,"LUBELSKIE",2112216,
0800000,"LUBUSKIE",1013031,
1000000,"ŁÓDZKIE",2460170,
1200000,"MAŁOPOLSKIE",3404863,
1400000,"MAZOWIECKIE",5411446,
1600000,"OPOLSKIE",984345,
1800000,"PODKARPACKIE",2127462,
2000000,"PODLASKIE",1179430,
2200000,"POMORSKIE",2337769,
2400000,"ŚLĄSKIE",4524091,
2600000,"ŚWIĘTOKRZYSKIE",1237369,
2800000,"WARMIŃSKO-MAZURSKIE",1425967,
3000000,"WIELKOPOLSKIE",3495470,
3200000,"ZACHODNIOPOMORSKIE",1698344,
